epoch,lr,pe,pf,train_loss,train_eRMSE,train_fRMSE,val_loss,val_eRMSE,val_fRMSE
1,0.002,1.0,10.0,158008.3832289806,397.33551770438737,1.1642015721600678,140876.64002946415,375.3181559676561,1.1307948443856
2,0.002,1.0,10.0,117686.66455821386,342.4398435379807,1.1646283965470294,93589.87763914584,305.9035081829268,1.1314251737812526
3,0.002,1.0,10.0,72936.33622014265,269.25692672864125,1.1644093871976267,55418.378176942766,235.38363812980617,1.1278113645416556
4,0.002,1.0,10.0,42812.44928151488,204.95272109452722,1.6298914568968774,17961.856637450855,133.97367877015517,1.1306501729987994
5,0.002,1.0,10.0,8447.817811210522,88.62110306857177,1.163790209348668,2616.826179699073,51.028570638152196,1.128583543749263
6,0.002,1.0,10.0,989.8521826606703,29.333772589397594,1.1640080517236506,203.41553086116215,13.802427939624486,1.1300450545227059
7,0.002,1.0,10.0,73.21752476066034,7.033169947309384,1.1631399687643638,20.45268400304982,2.747519670689755,1.1287401622330866
8,0.00196,1.0,9.82,15.626744320783384,1.2659792698611882,1.1632201286862796,12.843764707899219,0.42425703270030246,1.1310752966211475
9,0.00196,1.0,9.82,13.490566922129396,0.18255996275754618,1.162631114355822,12.641725911683423,0.06253525249956624,1.1269958370980806
10,0.00196,1.0,9.82,13.345291260093544,0.0416657094723292,1.1567404418053493,12.416753940446457,0.05568029277246578,1.1190103599297203
11,0.00196,1.0,9.82,12.91977746740379,0.07219394430822264,1.1390033444392804,12.094667786433483,0.05921903717660064,1.1032674772455728
12,0.00196,1.0,9.82,12.716831744436679,0.05872710035924981,1.1287399387157047,12.137634294457134,0.08307739013499876,1.104343697485512
13,0.00196,1.0,9.82,12.667278959323719,0.04725676076563332,1.1273918841552524,12.01510577098441,0.05408778540487806,1.1007883101120803
14,0.00196,1.0,9.82,12.598257737317532,0.026143645296731428,1.1251407680298022,11.826823924332107,0.02272449212708387,1.09448885081992
15,0.00196,1.0,9.82,12.236217564225539,0.029063409047311153,1.1086359009087308,11.762747125479907,0.04418424019009769,1.0877842441163161
16,0.0019207999999999999,1.0,9.6436,12.216447989905395,0.13118542779654055,1.1150874090603904,10.466411625476791,0.024120836931934855,1.0344568575108268
17,0.0019207999999999999,1.0,9.6436,11.132930744643982,0.030129299559870506,1.0667117482753787,10.631765853528991,0.022851207752889686,1.0461793205974468
18,0.0019207999999999999,1.0,9.6436,11.807790057370894,0.13859511575142963,1.0952776653639609,10.266967153163415,0.02379079678109081,1.0267350034655465
19,0.0019207999999999999,1.0,9.6436,10.53380143480146,0.06296992447749432,1.0384073837870575,9.572806398699091,0.13904163756994556,0.9921281610835451
20,0.0019207999999999999,1.0,9.6436,10.24224329684295,0.09747655461268033,1.022140608082929,10.264931654137479,0.15701608189357935,1.0250529972309432
21,0.0019207999999999999,1.0,9.6436,9.971350726341107,0.09543330819700321,1.0095657347856664,9.500308244441062,0.09902167326019114,0.986672345045267
22,0.0019207999999999999,1.0,9.6436,9.356649941857233,0.05576579655319367,0.9788177582652838,8.787465353538053,0.09229599585451806,0.9498456143793739
23,0.001882384,1.0,9.470728,9.226341812161655,0.09091819141499702,0.9742848302665656,7.882135761687018,0.07727201208762223,0.9061822904027228
24,0.001882384,1.0,9.470728,9.366711266589473,0.11557801288837659,0.9848345835420789,7.619514676452171,0.034521986508727204,0.8917295057973138
25,0.001882384,1.0,9.470728,8.574373439159482,0.062993831066884,0.9445718841353618,7.872622074998364,0.13837303885992563,0.9044118796596484
26,0.001882384,1.0,9.470728,8.42328666358356,0.0711033482806225,0.9357031783637169,7.267976537155671,0.022848008961438175,0.869922811858895
27,0.001882384,1.0,9.470728,7.8852117275826155,0.08513223468649064,0.9031518651088306,6.614881431104941,0.06116673318138103,0.8294831968055465
28,0.001882384,1.0,9.470728,7.520980931360494,0.07494507633746003,0.8832269834602223,7.08361968976262,0.040329398775804694,0.8584358292556789
29,0.001882384,1.0,9.470728,7.257194436976439,0.08725819138737215,0.8666330024517435,6.242614170058824,0.024890331903417547,0.8027264777360246
30,0.001882384,1.0,9.470728,7.053131878690781,0.09404069764457473,0.8544664160736081,6.084086651438273,0.05186090890463681,0.797601455243039
31,0.00184473632,1.0,9.30131344,6.97589634790716,0.12514150912820624,0.8550028207886754,7.258265100028131,0.25420858688129316,0.8753925226147657
32,0.00184473632,1.0,9.30131344,6.6319571682382294,0.1533061458492696,0.8332262435164121,6.804389977326089,0.3608246718350959,0.8382635932430469
33,0.00184473632,1.0,9.30131344,6.247413003830495,0.16360427196354418,0.8083671752775952,5.357974319809899,0.23986643623055046,0.74557945945842
34,0.00184473632,1.0,9.30131344,5.947754364934323,0.13217476751375862,0.789661167075523,5.320382424404232,0.0719066491651581,0.7497498158806125
35,0.00184473632,1.0,9.30131344,5.5033275699563315,0.13735736989178712,0.7576185534109368,5.123345626882932,0.19827263688148766,0.7343608446956997
36,0.00184473632,1.0,9.30131344,5.168789802461276,0.10977969397161631,0.7360470590743929,4.104713646304869,0.06194502755109827,0.6575316136298655
37,0.00184473632,1.0,9.30131344,5.269957152647672,0.18300299325179,0.7347095429874558,12.935073090287547,2.3766598176950726,0.8807997107324351
38,0.0018078415935999998,1.0,9.1352871712,16112.170102189186,60.74429130682924,5.268047216282381,11.570859793436355,0.22595549729517406,1.1182211581162376
39,0.0018078415935999998,1.0,9.1352871712,11.322728888140825,0.048981010412488306,1.1053757075396888,10.430176695860498,0.034034820691487444,1.0598956983048264
40,0.0018078415935999998,1.0,9.1352871712,10.866542018665,0.02965978372126894,1.0827017862945552,9.791814728608593,0.044668677047443414,1.028478143298155
41,0.0018078415935999998,1.0,9.1352871712,10.524444960072266,0.027361211019854302,1.0656171137286685,9.956631383156118,0.0300893665847508,1.037495472760756
42,0.0018078415935999998,1.0,9.1352871712,10.671951456339658,0.026212628467358105,1.0734741396403846,9.74377470512929,0.02710272104836483,1.0286509446802399
43,0.0018078415935999998,1.0,9.1352871712,10.56419718989108,0.02900790975390436,1.0680499281032585,10.090408792047496,0.023228148151559033,1.043090036750516
44,0.0018078415935999998,1.0,9.1352871712,10.726757948227728,0.024404004594186485,1.0759668221486007,10.345953003185773,0.07030615462345909,1.057500029397215
45,0.0018078415935999998,1.0,9.1352871712,10.717606937287892,0.027846751126313206,1.0760147290844884,10.189910762293302,0.03233403306323182,1.0524831936731038
46,0.0017716847617279998,1.0,8.972581427776,10.598303045974253,0.021676295016447206,1.0800322643673277,10.093135361875953,0.01789194816496481,1.0548670279869397
47,0.0017716847617279998,1.0,8.972581427776,10.683638359803881,0.026879187903650577,1.0848990853058131,10.08105841807417,0.024957291225906432,1.0554288619800987
48,0.0017716847617279998,1.0,8.972581427776,10.757494076633098,0.02505154226642635,1.0879091196602837,10.322272575610077,0.01606978633203664,1.0678940213144046
49,0.0017716847617279998,1.0,8.972581427776,10.746485682920797,0.04142482985193818,1.0874239633860696,10.220300009195753,0.01566113488308293,1.0622380179699453
50,0.0017716847617279998,1.0,8.972581427776,10.792148907936474,0.04256492300185946,1.0892357643738733,10.204884343198698,0.023803517084823186,1.0596363558407098
51,0.0017716847617279998,1.0,8.972581427776,10.6820415138158,0.04066582156471303,1.0827342692355275,10.162769269754701,0.030172292865589232,1.0583583383155402
52,0.0017716847617279998,1.0,8.972581427776,10.61031940040828,0.0470859740213612,1.0784962824355104,9.992581800215733,0.017680403698987487,1.0479242152138906
53,0.00173625106649344,1.0,8.813129799220478,10.255256845951122,0.04886575030264868,1.0655218225449632,9.469694919028592,0.04330067288686408,1.0273851006272203
54,0.00173625106649344,1.0,8.813129799220478,9.931886394178669,0.055651168668811216,1.0525238448431056,9.2639745639758,0.018001811027250018,1.0171206481915689
55,0.00173625106649344,1.0,8.813129799220478,9.893599383163293,0.04218890228726482,1.0513292596768438,9.45656414022211,0.044982127732527494,1.0301915191197617
56,0.00173625106649344,1.0,8.813129799220478,9.95433629380664,0.057035275973625926,1.0549323226955478,9.098742813319882,0.09824264174026473,1.008524045689589
57,0.00173625106649344,1.0,8.813129799220478,9.603533743682004,0.046679088371465075,1.0363190681708634,8.827803009458075,0.026079364140323608,0.994582580000387
58,0.00173625106649344,1.0,8.813129799220478,9.296729220921877,0.04204042274227909,1.020070047493788,8.478300694280358,0.05907435668992164,0.9746312113793824
59,0.00173625106649344,1.0,8.813129799220478,9.020662529028256,0.034698957145748666,1.0042804435021053,8.47911430524101,0.04952934766091964,0.9768374544516614
60,0.00173625106649344,1.0,8.813129799220478,8.967796631081711,0.04117307101007823,1.0018117128271975,8.099764660666619,0.01811313958646182,0.9543146892582373
61,0.001701526045163571,1.0,8.65686720323607,8.286365282797357,0.044526432431285096,0.9706537986649153,7.131621623503759,0.057481763371489955,0.9021159578454184
62,0.001701526045163571,1.0,8.65686720323607,7.785609379701336,0.07555800026421265,0.9417754881573481,7.012791435308788,0.025267390567207056,0.896257289088241
63,0.001701526045163571,1.0,8.65686720323607,7.658649695755831,0.07455317882172187,0.9341881338508553,7.456064812589181,0.06770294785540686,0.9237541386200117
64,0.001701526045163571,1.0,8.65686720323607,7.719550616152771,0.06101751135964101,0.9374641552393093,6.959085105601332,0.05385255800228603,0.8925984214427244
65,0.001701526045163571,1.0,8.65686720323607,7.486992089018702,0.05768043900731074,0.923451101104421,6.637909702298686,0.06360789013327449,0.8699601450104129
66,0.001701526045163571,1.0,8.65686720323607,7.381246694021484,0.06957986984080164,0.9167398749123461,6.546425685585693,0.056372810160909406,0.8649849024613465
67,0.001701526045163571,1.0,8.65686720323607,7.165967623120018,0.07569184925873594,0.9024255787078421,6.352716782066918,0.09804798213037215,0.8529459970081003
68,0.0016674955242602996,1.0,8.503729859171347,7.033485508861584,0.08992705248980716,0.8981506817474544,6.221334744066382,0.07350664595033699,0.8511416203287121
69,0.0016674955242602996,1.0,8.503729859171347,6.718644006458857,0.08441506210624468,0.8821676019894309,6.011968549261329,0.1315629066118356,0.8358557655644635
70,0.0016674955242602996,1.0,8.503729859171347,6.6317170478268705,0.14398919120784107,0.8740816095331736,5.750568113326369,0.021394447415853005,0.8189681004935726
71,0.0016674955242602996,1.0,8.503729859171347,6.3464714303947645,0.1195080537496286,0.8554486270826722,5.87732458708149,0.05373454298266563,0.8244461735508088
72,0.0016674955242602996,1.0,8.503729859171347,6.241863736250504,0.10664759144822325,0.849428834424257,5.846078575911764,0.1708900642255298,0.8235307981560861
73,0.0016674955242602996,1.0,8.503729859171347,6.1260852156017505,0.158664376202316,0.8405107307953295,5.703383156344963,0.13305853646676233,0.8156342004373184
74,0.0016674955242602996,1.0,8.503729859171347,6.053960861177236,0.13172661184995893,0.8344871075393415,5.518328082774102,0.05675223912404058,0.7998497890173146
